Site,Path,Int model,Int field,Int IGRF,Int median dif IGRF model,Int median dif IGRF field,Int min model,Int max model,Int min field,Int max field,Inc model,Inc field,Inc IGRF,Inc median dif IGRF model,Inc median dif IGRF field,Inc min model,Inc max model,Inc min field,Inc max field,Dec model,Dec field,Dec IGRF,Dec median dif IGRF model,Dec median dif IGRF field,Dec min model,Dec max model,Dec min field,Dec max field
FLUX1,path 1,45.11 ± 0.76,44.68 ± 1.08,45.15,-0.04048999999999836,-0.4706599999999952,43.90565,46.70994,42.67101,46.70509,52.27 ± 0.77,53.44 ± 1.37,53.38,-1.1155000000000044,0.05943999999999505,50.58107,53.79558,51.36204,57.34835,2.25 ± 0.86,0.34 ± 1.73,3.32,-1.073194,-2.9806719,0.8067005,4.067742,-0.9415508,6.12083
,path 2,44.97 ± 0.76,44.44 ± 1.21,45.15,-0.1824099999999973,-0.7192399999999992,44.466409999999996,47.046170000000004,43.35148,47.83093,52.68 ± 0.69,54.0 ± 1.5,53.38,-0.7045200000000023,0.6187599999999946,51.61129,53.90834,50.07037,57.01953,2.63 ± 0.76,1.93 ± 1.26,3.32,-0.6951320000000001,-1.3863509999999999,1.296861,4.272093,-0.2207638,4.243249
,path 3,45.64 ± 0.56,45.29 ± 0.92,45.15,0.4863250000000079,0.1362450000000024,44.788579999999996,46.475089999999994,43.34008,47.75808,52.78 ± 0.42,54.88 ± 1.04,53.38,-0.5996900000000025,1.5008249999999919,51.9932,53.61075,50.76648,57.01364,2.39 ± 1.05,1.8 ± 1.66,3.32,-0.9348904999999998,-1.5243249999999997,1.042363,4.953356,-1.028314,4.591324
FLUX2,path 1,45.92 ± 0.2,44.43 ± 1.0,45.15,0.7712800000000044,-0.716070000000002,45.506949999999996,46.28216,41.78258,45.43313,52.81 ± 0.54,52.59 ± 1.17,53.39,-0.5799499999999966,-0.7962500000000006,51.57936,53.7576,49.47262,54.7044,3.46 ± 0.77,-0.33 ± 2.57,3.32,0.13931199999999988,-3.6466735000000003,1.46764,4.749082,-4.371883,5.198311
,path 2,45.85 ± 0.37,43.7 ± 0.98,45.15,0.7013000000000034,-1.4475499999999997,44.96925,46.577740000000006,41.61725,45.76968,52.51 ± 0.23,52.25 ± 0.79,53.39,-0.8792100000000005,-1.1355700000000013,52.24469,53.18839,50.07726,53.73349,3.11 ± 0.65,0.38 ± 2.09,3.32,-0.207754,-2.93679995,1.918822,5.059866,-3.25107,5.164414
,path 3,46.16 ± 0.44,44.57 ± 1.31,45.15,1.0058400000000063,-0.5816700000000026,45.43452,47.42959,41.75909,47.67899,52.92 ± 0.28,52.3 ± 1.28,53.39,-0.46847999999999956,-1.09422,52.2151,53.37368,49.58905,54.19809,3.24 ± 0.88,0.11 ± 2.42,3.32,-0.07518400000000014,-3.2029255300000004,1.25074,4.31848,-6.269532,4.088363
FLUX3,path 1,44.08 ± 0.35,44.21 ± 0.79,45.24,-1.1598999999999933,-1.0303799999999939,43.5116,45.29729,42.33148,45.54601,53.83 ± 0.5,53.82 ± 1.13,53.59,0.23555999999999955,0.22335999999999956,53.33331,55.13197,51.91258,55.85344,2.27 ± 1.13,-2.69 ± 2.16,3.34,-1.0759239999999997,-6.032614,0.611747,4.024226,-5.86837,2.559701
,path 2,43.99 ± 0.26,44.25 ± 0.98,45.24,-1.2457999999999956,-0.9901999999999944,43.40246,44.479839999999996,42.79233,46.51107,53.92 ± 0.86,52.8 ± 1.8,53.59,0.33125000000000426,-0.7922299999999964,51.61425,54.25676,49.0925,56.8821,2.15 ± 0.92,-1.7 ± 2.64,3.34,-1.187833,-5.0464605,1.056275,3.696868,-7.40282,4.405324
,path 3,44.18 ± 0.46,45.04 ± 1.03,45.24,-1.0559499999999957,-0.19645999999999475,43.32737,45.38336,43.0618,46.29595,52.84 ± 0.62,53.04 ± 1.77,53.59,-0.7565199999999948,-0.5478649999999945,51.45906,53.63434,49.86386,56.10711,0.89 ± 1.11,-2.61 ± 2.62,3.34,-2.4517815,-5.948434,0.008335891,3.825411,-7.021932,2.066095
FLUX4,path 1,45.33 ± 0.59,44.03 ± 1.88,45.2,0.12897499999999695,-1.1680200000000056,44.07996,46.349140000000006,39.30686,47.80973,53.03 ± 0.76,52.79 ± 2.37,53.53,-0.49227999999999383,-0.7338099999999983,51.74136,54.81501,47.02777,57.2559,2.1 ± 0.71,-3.13 ± 1.82,3.33,-1.2376475,-6.464704,0.998913,3.448185,-6.174535,0.6215965
FLUX5,path 1,46.02 ± 0.35,43.77 ± 1.13,45.15,0.8715650000000039,-1.3854949999999988,45.582840000000004,46.71971,41.82468,46.58271,52.26 ± 0.24,52.16 ± 1.21,53.39,-1.1270799999999923,-1.2309300000000007,51.97593,52.78702,50.2413,54.4657,3.63 ± 0.65,1.32 ± 2.9,3.32,0.3130704999999998,-1.99763,2.299407,4.698351,-3.768971,6.15625
,path 2,45.55 ± 0.6,43.29 ± 1.69,45.15,0.40265499999999577,-1.8600100000000026,44.90078,46.9309,41.0492,46.5901,52.4 ± 0.55,53.34 ± 1.87,53.39,-0.9947250000000025,-0.053249999999998465,51.68669,53.49408,49.41692,56.35842,2.92 ± 1.53,-0.94 ± 4.4,3.32,-0.39877150000000006,-4.2547772,0.6905841,4.973953,-6.628182,7.888692
,path 3,45.58 ± 0.86,45.13 ± 2.08,45.15,0.42853499999999656,-0.025244999999998186,43.73481,46.47096,40.18695,47.6089,52.57 ± 0.6,53.4 ± 1.25,53.39,-0.8183000000000007,0.007595000000002017,51.48525,53.50699,51.26539,55.5894,2.11 ± 1.81,-2.59 ± 4.49,3.32,-1.2032585,-5.902629,0.7333195,5.270015,-6.265911,6.923538
